architecture,activation,learning_rate,dropout,batch_size,weight_decay,neurons_1,neurons_2,val_rmse,val_r2,neurons_3,neurons_4
four_layer,tanh,0.0005,0.3,64,0.001,64,64,0.8212220668792725,0.5490754842758179,16.0,16.0
four_layer,relu,0.0005,0.3,32,0.001,128,32,0.8215402960777283,0.5487259030342102,16.0,16.0
four_layer,tanh,0.0005,0.1,32,0.0001,64,64,0.8216782808303833,0.5485743284225464,16.0,16.0
four_layer,tanh,0.0001,0.1,32,1e-05,128,32,0.8219583034515381,0.5482666492462158,32.0,16.0
four_layer,tanh,0.0005,0.1,64,0.0001,64,32,0.8219931125640869,0.5482283234596252,32.0,16.0
three_layer,tanh,0.0001,0.1,32,0.0001,128,32,0.8223098516464233,0.5478801131248474,32.0,
four_layer,tanh,0.0001,0.3,32,0.0001,128,32,0.8223647475242615,0.5478197336196899,16.0,16.0
three_layer,relu,0.0001,0.1,64,0.0001,64,64,0.8227543830871582,0.5473911762237549,16.0,
two_layer,relu,0.0001,0.3,64,1e-05,64,32,0.822874128818512,0.5472593307495117,,
four_layer,relu,0.0001,0.1,32,0.001,64,32,0.8236219882965088,0.546436071395874,32.0,16.0
three_layer,relu,0.0005,0.1,64,1e-05,64,32,0.8239626884460449,0.5460608005523682,16.0,
three_layer,relu,0.0001,0.3,32,0.0001,128,32,0.824288547039032,0.5457016229629517,16.0,
three_layer,relu,0.0001,0.1,64,1e-05,128,32,0.8247401714324951,0.545203685760498,16.0,
three_layer,tanh,0.0001,0.1,32,0.0001,64,64,0.8247858285903931,0.5451533794403076,16.0,
four_layer,tanh,0.0005,0.3,64,1e-05,64,64,0.8251281976699829,0.544775664806366,32.0,16.0
three_layer,relu,0.0001,0.3,32,1e-05,128,32,0.8251872658729553,0.5447103977203369,32.0,
four_layer,relu,0.0005,0.3,32,0.001,64,32,0.8252916932106018,0.5445952415466309,16.0,16.0
four_layer,tanh,0.001,0.3,64,0.001,64,64,0.8254549503326416,0.5444149971008301,16.0,16.0
three_layer,relu,0.0001,0.3,64,1e-05,128,64,0.8257796764373779,0.5440565347671509,32.0,
three_layer,tanh,0.0005,0.1,64,0.0001,128,32,0.8259516358375549,0.5438666343688965,16.0,
three_layer,relu,0.0001,0.3,32,1e-05,128,32,0.8259555101394653,0.5438623428344727,16.0,
four_layer,relu,0.0001,0.1,32,0.0001,64,64,0.8267136812210083,0.5430245399475098,16.0,16.0
four_layer,tanh,0.0001,0.3,64,1e-05,128,32,0.8267450928688049,0.5429898500442505,16.0,16.0
two_layer,tanh,0.0001,0.3,64,0.0001,64,32,0.8269738554954529,0.5427368879318237,,
three_layer,relu,0.0001,0.3,64,0.0001,128,64,0.8270317316055298,0.542672872543335,16.0,
four_layer,relu,0.001,0.3,64,0.001,64,32,0.8271573781967163,0.5425338745117188,16.0,16.0
four_layer,tanh,0.0001,0.3,64,1e-05,128,32,0.8274276852607727,0.5422348976135254,32.0,16.0
four_layer,tanh,0.0001,0.3,64,1e-05,64,32,0.8276515007019043,0.5419871807098389,16.0,16.0
four_layer,relu,0.001,0.3,64,0.0001,128,32,0.827852189540863,0.541765034198761,32.0,16.0
four_layer,tanh,0.0005,0.3,32,0.001,64,32,0.8287278413772583,0.540795087814331,32.0,16.0
four_layer,relu,0.0005,0.1,64,0.0001,128,64,0.8292596936225891,0.5402055382728577,32.0,16.0
four_layer,relu,0.0005,0.3,32,0.0001,64,32,0.8292895555496216,0.5401723980903625,32.0,16.0
four_layer,tanh,0.0001,0.3,32,1e-05,128,64,0.8293324708938599,0.5401248931884766,32.0,16.0
three_layer,tanh,0.0001,0.3,32,0.001,128,32,0.8293347358703613,0.540122389793396,32.0,
four_layer,tanh,0.0001,0.1,32,0.001,128,64,0.8294137120246887,0.5400347113609314,16.0,16.0
two_layer,tanh,0.0001,0.1,32,1e-05,128,32,0.8296054005622864,0.5398221015930176,,
four_layer,tanh,0.0001,0.1,32,0.001,128,64,0.8297475576400757,0.5396643280982971,32.0,16.0
two_layer,relu,0.0001,0.3,64,0.001,64,32,0.8299673795700073,0.539420485496521,,
three_layer,relu,0.0001,0.3,32,0.0001,64,64,0.8304316401481628,0.5389050245285034,16.0,
four_layer,tanh,0.0001,0.1,64,1e-05,64,32,0.8304404616355896,0.5388952493667603,16.0,16.0
four_layer,relu,0.0001,0.1,32,1e-05,128,64,0.8307600021362305,0.5385403037071228,32.0,16.0
four_layer,tanh,0.0001,0.3,64,0.0001,64,32,0.8309469819068909,0.5383325815200806,16.0,16.0
four_layer,tanh,0.0005,0.3,64,0.0001,64,32,0.8312031030654907,0.5380479097366333,32.0,16.0
four_layer,tanh,0.0001,0.3,64,0.0001,128,32,0.8319047689437866,0.5372676849365234,16.0,16.0
three_layer,relu,0.0001,0.3,64,1e-05,64,32,0.832062840461731,0.5370917916297913,32.0,
four_layer,relu,0.0001,0.1,32,1e-05,64,32,0.8323873281478882,0.5367306470870972,32.0,16.0
four_layer,tanh,0.0001,0.1,32,1e-05,128,32,0.8324607014656067,0.5366489887237549,16.0,16.0
three_layer,relu,0.0001,0.1,64,0.001,128,64,0.833057701587677,0.5359841585159302,16.0,
four_layer,tanh,0.0001,0.3,64,0.001,64,32,0.8330841660499573,0.5359547138214111,32.0,16.0
three_layer,relu,0.0001,0.3,64,1e-05,64,64,0.8331131935119629,0.5359224081039429,32.0,
four_layer,tanh,0.0001,0.3,32,0.001,128,64,0.8339144587516785,0.5350292325019836,16.0,16.0
four_layer,relu,0.0001,0.1,64,0.001,64,32,0.8341159224510193,0.5348045825958252,32.0,16.0
four_layer,relu,0.0001,0.1,32,0.0001,64,64,0.8344629406929016,0.5344173908233643,32.0,16.0
three_layer,relu,0.0001,0.3,64,0.0001,128,32,0.8346859812736511,0.5341684818267822,32.0,
four_layer,tanh,0.0005,0.3,64,0.001,128,64,0.8347306251525879,0.53411865234375,16.0,16.0
